Node        Latitude            Longitude
se2         37.36629164813181   -120.42154490947725
node3       37.36720401785676   -120.42259633541109
sre         37.364419991461546  -120.4246884584427
node1       37.36514478367969   -120.42549312114717
acs         37.36394671167786   -120.42415738105775
library1    37.3659633777708    -120.42435586452486
bsp         37.36473975555329   -120.42364239692688
nodeSE      37.366010270949076  -120.42193114757539
ssm         37.36752377277552   -120.42220473289491
cob1        37.36689704756419   -120.42305231094362
node2       37.36650483154995   -120.42360484600069
cob2        37.36697806054532   -120.42417347431183
library2    37.36647924687576   -120.4247957468033
ssb         37.36771990299146   -120.42320251464845
